,Device name,Device manufacture,Platform,Device price,reviews,score
51,Galaxy A15 5G 128GB Android Cell Phone (Unlocked CAD version and warranty),Samsung,Amazon,269,193,-0.025321536
52,"Samsung Galaxy A10e 32GB Canadian model A102W 5.8"" Display Long-lasting Battery Unlocked Smartphone (Renewed)",Samsung,Amazon,110,161,-0.007393388
53,SAMSUNG Galaxy S21 (5G) 128GB Unlocked - Phantom Grey (Renewed),Samsung,Amazon,302,5746,0.100679568
54,"Galaxy SmartTag2 (1 Pack CAD Warranty) - IP67 Water Resistant Bluetooth Tracker, Long Lasting Battery, NFC tag, Phone, Luggage, pet, Key Finder",Samsung,Amazon,27,1026,0.022587239
55,"Galaxy Buds FE, Graphite, Truly Wireless Bluetooth Earbuds, Active Noise Cancellation(ANC), Easy Pairing, Auto Switching, IPX2 Rating(CAD Version and Warranty)",Samsung,Amazon,89,593,0.005177244
56,"SAMSUNG Galaxy S20 FE (5G) 128GB (Canadian Model G781W) 6.5"" Display Unlocked Smartphone - Cloud Navy (Renewed)",Samsung,Amazon,120,506,-0.000498919
57,Galaxy A05 I 4GB 64GB Storage I 50 MP Main Camera | 5000 mAh Battery I International version (Light Green),Samsung,Amazon,189,20,-0.019970754
58,"Samsung Galaxy A14 5G (64GB+128GB SD Card), 6.6"" Display, 50MP Camera, 2-Day Battery, Unlocked, with 128GB SD Card - Black (Renewed)",Samsung,Amazon,449,22,-0.050464306
59,Galaxy S21 FE 5G White 128GB,Samsung,Amazon,879,83,-0.099546601
60,"Galaxy S24 5G - Onyx Black 128GB, AI Enabled, 120 Hz AMOLED Display, 50MP Camera, 8K Video, Nightography (Unlocked, CAD Version & Warranty)",Samsung,Amazon,376,12,-0.042123408
61,Samsung Galaxy S22 (5G) 128GB Unlocked - White (Renewed),Samsung,Amazon,53,27,-0.003832092
62,"Galaxy A15 4G Dual SIM (128GB, 2024) 6.5"" 90Hz AMOLED, 50MP Camera, 4G Volte (Fully Unlocked International Model) (Light Blue)",Samsung,Amazon,209,2,-0.022741006
63,"Samsung Galaxy S21 5G 128GB 6.2"" Display, Snapdragon 888 5G, 64MP+12MP+12MP Camera Unlocked - Phantom Grey (Renewed)",Samsung,Amazon,369,446,-0.031150478
64,"Samsung Galaxy S20 FE (5G) 128GB 6.5"" Display Unlocked Smartphone - Cloud Navy (Renewed)",Samsung,Amazon,499,950,-0.034632745
65,"Type-C USB Flash Drive, 256GB, Transfers 4GB Files in 11 Secs w/Up to 400MB/s 3.13 Read Speeds, Compatible w/USB 3.0/2.0, Waterproof - Canada Version",Samsung,Amazon,162,10159,0.220338635
66,"Galaxy Buds3, Wireless Bluetooth Earbuds with Adaptive Noise Control, Sweat and Water Resistance, AI translator, Adaptive EQ - Silver (CAD Version & Warranty)",Samsung,Amazon,229,11,-0.024879764
67,"Samsung Galaxy S22 5G (128GB, 8GB) 6.2"" AMOLED 2X, 50MP Camera, 5G Unlocked (w/ 25W Super Fast Charge Cube, Phantom Black) (Renewed)",Samsung,Amazon,188,243,-0.014637614
68,Samsung Galaxy S10 128GB Prism Black 8GB RAM Canadian Model G973W Unlocked (Renewed),Samsung,Amazon,159,182,-0.012657903
69,"Galaxy Tab S9 FE Grey 8GB RAM 256GB Storage Android Tablet, 10.9"" 90 Hz Screen, IP68 Rating, 45W Fast Charging battery (CAD version and Warranty)",Samsung,Amazon,255,349,-0.020028421
70,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, LTE, 4GB RAM, 128GB Storage, (Silver)",Samsung,Amazon,449,13,-0.050674804
71,Galaxy Buds2 Pro Graphite,Samsung,Amazon,28,622,0.013020747
72,"LC32R500FHNXZA 32"" FHD Freesync 1500R Curved Monitor 3,000:1 contrast 4ms",Samsung,Amazon,522,5750,0.074931306
73,"T7 Shield 1TB, Portable SSD, up to 1050MB/s, USB 3.2 Gen2, Rugged, IP65 Rated, for Photographers, Content Creators and Gaming, External Solid State Drive (MU-PE1T0S/AM, 2022), Black",Samsung,Amazon,15,12617,0.295095058
74,"Samsung Galaxy A14 5G (64GB+64GB SD), 6.6"" HD+ Display, 2-Day Battery, Black, Unlocked (with 64GB SD) - (Renewed)",Samsung,Amazon,219,163,-0.020150056
75,Samsung Galaxy S21+ (5G) 128GB Unlocked - Phantom Violet (Renewed),Samsung,Amazon,449,1147,-0.024152033
76,"Galaxy Watch7 Smartwatch, 44mm, Fitness Tracking, BioActive Sensor, Personalized Sleep Coaching, Bluetooth – Forest Green (CAD Version & Warranty)",Samsung,Amazon,399,4,-0.045012162
77,"25W Wall Charger Power Adapter with Cable, Super Fast Charging, Compact Design, Compatible with Galaxy and USB Type C Devices, Black",Samsung,Amazon,267,487,-0.018210336
78,"Samsung Galaxy S21 (5G), 128GB - Phantom Violet (Renewed)",Samsung,Amazon,84,179,-0.003918359
79,"Samsung Galaxy S21 Ultra (5G) 256GB, 6.8"" Display, with Samsung 25W Super Fast Charger, Unlocked -Phantom Black (Renewed)",Samsung,Amazon,249,65,-0.025966031
80,"25W USB C Charger Block Type C Charger Samsung Fast Charger with 6ft USB C to C Cable Compatible with iPhone 15 Samsung Galaxy S24 S23 S22 S21 S20 Ultra S10 S9 Note 20 10 9, Android Phone",Samsung,Amazon,877,2421,-0.044628926
81,Pixel 8-128GB - Obsidian,Google,Amazon,342,438,-0.028166092
82,"Google Pixel 6 Pro 5G (128GB, 12GB) 6.71"" AMOLED 120Hz, 12.2MP 4K Camera (Fully Unlocked for Canada + Global) w/Fast Charge Cube - Stormy Black (Renewed)",Google,Amazon,2399,1343,-0.248620317
83,"Pixel 8a - 128 GB -Unlocked Android Smartphone with Advanced Pixel Camera, 24-Hour Battery, and Powerful Security - Bay",Google,Amazon,1099,53,-0.126090079
84,Google Pixel 9 Pro Fold - Unlocked Android Smartphone with Gemini - Advanced Triple Rear Camera System - Foldable Display - Hands-Free Video - Obsidian - 256 GB,Google,Amazon,1629,9406,0.030409021
85,"Google Pixel 9-128 GB - Unlocked Android Smartphone with Advanced Pixel Camera, 24+ Hour Battery Life, Fast Wireless Charging, Dual SIM, and Powerful Security - Wintergreen",Google,Amazon,2569,2479,-0.242019446
86,"Google Pixel 9 Pro XL - 256 GB - 6.8-inch Display - Unlocked Android Smartphone with Advanced Pixel Camera, 24+ Hour Battery Life, Fast Wireless Charging, Dual SIM, and Powerful Security - Porcelain",Google,Amazon,1099,1949,-0.081745129
87,Google Pixel 9 Pro Fold - Unlocked Android Smartphone with Gemini - Advanced Triple Rear Camera System - Foldable Display - Hands-Free Video - Obsidian - 512 GB,Google,Amazon,1229,705,-0.126110819
88,"Google Pixel 9-128 GB - Unlocked Android Smartphone with Advanced Pixel Camera, 24+ Hour Battery Life, Fast Wireless Charging, Dual SIM, and Powerful Security - Peony",Google,Amazon,1229,405,-0.133127425
89,"Google Pixel 9-256 GB - Unlocked Android Smartphone with Advanced Pixel Camera, 24+ Hour Battery Life, Fast Wireless Charging, Dual SIM, and Powerful Security - Obsidian",Google,Amazon,1229,72,-0.140915858
90,"Google Pixel 9-256 GB - Unlocked Android Smartphone with Advanced Pixel Camera, 24+ Hour Battery Life, Fast Wireless Charging, Dual SIM, and Powerful Security - Peony",Google,Amazon,269,423,-0.019942138
91,"Google Pixel 9-256 GB - Unlocked Android Smartphone with Advanced Pixel Camera, 24+ Hour Battery Life, Fast Wireless Charging, Dual SIM, and Powerful Security - Porcelain",Google,Amazon,228,91,-0.022891207
92,Pixel 4a - New Unlocked Android Smartphone - 128 GB of Storage - Up to 24 Hour Battery - Just Black,Google,Amazon,348,125,-0.036191528
93,Pixel 4a with 5G - Android Phone - New Unlocked Smartphone with Night Sight and Ultrawide Lens - Just Black,Google,Amazon,339,3870,0.052456269
94,Google Pixel 6 5G Android Phone Unlocked Smartphone with Wide and Ultrawide Lens 128GB Stormy Black (Renewed),Google,Amazon,1028,596,-0.105050163
95,Google Pixel 6a 5G 128GB Canadian Model Unlocked- Charcoal (Renewed),Google,Amazon,528,812,-0.041266805
96,Pixel 8 Pro - 256gb - Porcelain,Google,Amazon,299,14,-0.033031995
97,"Google Pixel 7 Pro 5G 128GB+12GB RAM 6.7"" Display, 50MP+12MP+48MP Triple Camera System Unlocked -Obsidian (Renewed)",Google,Amazon,349,68,-0.037642146
98,Google Pixel 6 (5G) 128GB Unlocked - Stormy Black (Renewed),Google,Amazon,424,1139,-0.021402573
99,Pixel Watch 2 - WiFi - Black/Black,Google,Amazon,398,67,-0.043421212
100,Google Pixel 7 (5G) 128GB (Canadian Model GVU6C) Unlocked - Snow (Renewed),Google,Amazon,199,4,-0.021519601
101,"Google Pixel 7a (5G) 128GB (Canadian Model GWKK3) 6.1"" Display, Google Tensor G2 Image Processing Photo Editing, Unlocked, (with 45W Super Fast Charger) Charcoal- (Renewed)",Google,Amazon,424,61,-0.046615577
102,Google PIXEL 4 64GB (Canadian Model) G020I Unlocked Phone - Just Black (Renewed),Google,Amazon,979,1525,-0.077566396
103,Google Pixel 7 (5G) 128GB (Canadian Model GVU6C) Unlocked - Obsidian (Renewed),Google,Amazon,290,21,-0.031811109
104,"Google Pixel 4a with 5G, 6.2, 128GB, 6GB RAM, Unlocked Cellular - Just Black (Renewed)",Google,Amazon,206,27,-0.021803901
105,Pixel 8 Pro - 128GB - Porcelain,Google,Amazon,539,1554,-0.02520449
106,Google Pixel 6a - 5G Android Phone - Unlocked Smartphone with 12 Megapixel Camera and 24-Hour Battery - Chalk (Renewed),Google,Amazon,540,3211,0.013433101
107,"Google Pixel 4a Smartphone, 128GB Storage & Unlocked Cellular - Just Black (Renewed)",Google,Amazon,309,200,-0.029856327
108,"Google Pixel 7 Pro 5G 128GB+12GB RAM 6.7"" Display, 50MP+12MP+48MP Triple Camera System, Unlocked -Hazel (Renewed)",Google,Amazon,179,489,-0.007826832
109,Google Pixel 7-128GB - NEW Obsidian CANADIAN MODEL with CANADIAN WARRANTY NEW,Google,Amazon,189,33,-0.019666701
110,"Google Pixel 6a 5G 128GB+6GB RAM 6.1'' Display Unlocked- Charcoal (Renewed),Black",Google,Amazon,499,1765,-0.015570965
111,Google Pixel 3a XL 64GB Unlocked Purple-ish G020C Smartphone (Renewed),Google,Amazon,699,149,-0.076859643
112,"Pixel 6a (5G) 128GB+6GB RAM 6.1'' OLED Display Single SIM Unlocked Smartphone - Charcoal,Black",Google,Amazon,229,262,-0.019009204
113,Google Pixel 3a 64GB Unlocked Smartphone - Just Black (Renewed),Google,Amazon,209,4,-0.022694229
114,Unlocked Google Pixel 5 128GB Just Black GA01316-US (Renewed),Google,Amazon,799,579,-0.078548788
115,Pixel 6a Cell Phone - Charcoal,Google,Amazon,425,1113,-0.022128141
116,Pixel Tablet with Charging Speaker Dock - 128GB - Porcelain,Google,Amazon,399,23,-0.044567777
117,Pixel 3a XL,Google,Amazon,879,209,-0.096599627
118,Google PIXEL 4 64GB Unlocked phone - Just Black (Renewed),Google,Amazon,399,262,-0.038977881
119,Pixel 7-128GB - Obsidian,Google,Amazon,34,535,0.010281154
120,Google Pixel 7 (5G) 128GB (Canadian Model GVU6C) Unlocked - Lemongrass (Renewed),Google,Amazon,139,2709,0.048794564
121,Pixel Buds Pro Porcelain,Google,Amazon,109,262,-0.004913668
122,"Google Pixel 6 Pro 5G (128GB, 12GB) 6.71"" AMOLED 120Hz Unlocked -Cloudy White (Renewed)",Google,Amazon,336,569,-0.024397397
123,"Pixel 2 XL Unlocked GSM/CDMA - US Warranty (Just Black, 64GB)",Google,Amazon,584,671,-0.051142526
124,Google Pixel 6-5G Android Phone Unlocked Smartphone with Wide and Ultrawide Lens 128GB Sorta Seafoam (Renewed),Google,Amazon,268,9,-0.029507591
125,Google Pixel 3 XL G013C 64GB Just Black Unlocked Smartphone (Renewed),Google,Amazon,299,3276,0.043261901
126,"Motorola Moto G Play (2023) (32GB + 64GB SD Card), 6.5"" Display, 3-Day Battery, with 64GB SD Card, LTE 4G Unlocked - Navy Blue (Renewed)",Motorola,Amazon,109,262,-0.004913668
127,Moto G54 Dual-SIM 256GB ROM + 8GB RAM 5G (Only GSM | No CDMA) Factory Unlocked Smartphone - International Version (Blue Azul),Motorola,Amazon,249,82,-0.025568424
128,"Moto G Stylus 5G 2023 (128GB, 6GB) 6.5"""" HD+, 50MP Dual Camera, Unlocked Android 13, MotoGstylus20235g128gb",Motorola,Amazon,229,464,-0.014284689
129,"Moto G24 Power Dual SIM | 2024 | 8+256GB | GSM Unlocked Smartphone | 6.56"" 90Hz IPS LCD Display | 50MP Camera | Li-Po 6000 mAh Battery | International Model - (Glacier Blue)",Motorola,Amazon,184,3,-0.019781048
130,Moto G54 Dual-SIM 256GB ROM + 8GB RAM (Only GSM | No CDMA) Factory Unlocked 5G Smartphone (Mint Green) - International Version,Motorola,Amazon,249,100,-0.025147427
131,"Moto G04 Smartphone 6,53“ HD+ Display, 50 MP Camera, 4/128 GB, 5000 mAh Battery, Unlocked Android Phone - (Sea Green)",Motorola,Amazon,196,13,-0.020956714
132,"g24 Power, 8GB RAM, 256GB ROM, 6000mAh TurboPower 30W, 6.6"" Extra Bright 90Hz Display, MTK Helio G85, Android 14, Ink Blue",Motorola,Amazon,159,9,-0.016704146
133,"One 5G Ace (64GB, 4GB) 6.7"" Full HD, Snapdragon 750G, 5000mAh Battery (US + Canada 5G, Fully Unlocked for Telus, Rogers, Freedom, Global 4G LTE) XT21131VS (w/Fast Car Charger, Volcanic Grey)",Motorola,Amazon,139,18,-0.014144391
134,"Moto G04 Smartphone 6,53“ HD+ Display, 50 MP Camera, 4/128 GB, 5000 mAh Battery, Unlocked Android Phone - (Concord Black)",Motorola,Amazon,169,5,-0.017972328
135,"Motorola Moto G Power 5G (2023) I 6.5"" I 128GB I Unlocked Smartphone I Smoke Black (Renewed)",Motorola,Amazon,139,11,-0.014308112
136,"Moto G04 Smartphone 6,53“ HD+ Display, 50 MP Camera, 4/128 GB, 5000 mAh Battery, Unlocked Android Phone - (Satin Blue)",Motorola,Amazon,169,2,-0.018042494
137,"Moto G14 Dual SIM (2023) 4G LTE (4/128GB) 6.5"" IPS LDC Display | Android 13 | 50MP Rear Camera | 5000mAh Battery | International Model - (Steel Gray)",Motorola,Amazon,114,14,-0.011301376
138,Motorola Moto G Pure 32GB Unlocked - Deep Indigo (Renewed),Motorola,Amazon,249,489,-0.016049228
139,"Motorola Moto Edge 5G (2022) 128GB + 8GB RAM, 50MP Camera Unlocked - Mineral Gray (Renewed)",Motorola,Amazon,118,118,-0.009338804
140,"Motorola T470 Talkabout Weatherproof GMRS Radio, 56KM, 2 Pack",Motorola,Amazon,134,401,-0.00459921
141,Moto G Stylus | 2023 | Unlocked | 4GB 128GB | 50 MP Camera | Midnight Blue,Motorola,Amazon,179,380,-0.010376199
142,"Moto G04 Smartphone 6,53“ HD+ Display, 50 MP Camera, 4/128 GB, 5000 mAh Battery, Unlocked Android Phone - (Sunrise Orange)",Motorola,Amazon,129,1,-0.013367371
143,Moto G32 Dual-Sim 128GB ROM + 6GB RAM (GSM only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Mineral Grey) - International Version,Motorola,Amazon,139,36,-0.013723395
144,"Moto G Pure XT2163-4 4G LTE Unlocked Cell Phone 6.5"" Deep Indigo 32GB 3GB RAM",Motorola,Amazon,229,38,-0.02424827
145,Moto G13 Dual SIM 128GB ROM + 4GB RAM Factory Unlocked 4G Smartphone (Matte Charcoal) - International Version,Motorola,Amazon,289,417,-0.022431726
146,Moto G Power (2022) 64GB 4GB RAM | Unlocked Smartphone,Motorola,Amazon,174,24,-0.018115257
147,"Motorola Moto Edge (5G) 2022 128GB+6GB RAM, 6.6"" Display, 50MP Camera, 5000mAh Battery, Unlocked - Mineral Gray (Renewed)",Motorola,Amazon,98,33,-0.008977586
148,"Moto G84 5G XT2347-1 (Dual SIM) 8/256GB | 6.5"" P-OLED 120Hz Display | 50MP Camera | 5000 mAh Li-Po Battery | GSM Factory Unlocked | (NO CDMA) | International Model - (Spatial Black)",Motorola,Amazon,118,7,-0.011934948
149,"Moto G 5G (2023), (64GB+128GB SD Card) 6.5"" 120Hz Display. 48MP Camera, 2 Days Battery, Unlocked Smartphone (with 128GB SD Card) - Ink Blue (Renewed)",Motorola,Amazon,149,5,-0.015623072
150,"Motorola Talkabout T210TP Two-Way FRS Radio, Up to 32KM, Red",Motorola,Amazon,184,181,-0.015617862
151,"Moto Watch 70 - Health and Fitness Smartwatch for Every Day Wear, Advanced Health Features, Up to 10 Days Battery Life - Compatible with Android and iOS, Phantom Black",Motorola,Amazon,113,106,-0.009032154
152,Motorola Moto G 5G (2022) | 64GB 4GB RAM | Factory Unlocked Smartphone (Renewed),Motorola,Amazon,289,93,-0.03000966
153,Moto G24 Dual-SIM 256GB ROM + 4GB RAM (Only GSM | No CDMA) Factory Unlocked Smartphone (Matt Charcoal Grey) - International Version,Motorola,Amazon,197,36,-0.020536238
154,"Motorola Moto G Pure (32GB+128GB SD Card) 6.5"" Display, 2-Day Battery, 4G LTE Unlocked - Deep Indigo (Renewed)",Motorola,Amazon,275,2,-0.030493552
155,"Talkabout T802 Two-Way Radios, 2 Pack, Black/Blue",Motorola,Amazon,80,32,-0.006886644
156,Motorola Moto Edge | 2022 | 2-Day Battery | 256GB+8GB RAM | 50MP Camera | Unlocked Mineral Gray - (Renewed),Motorola,Amazon,144,19,-0.014708317
157,"Motorola Moto G Stylus 5G 2023 (128GB, 6GB) 6.5"" HD+, 50MP Dual Camera, Unlocked Android 13 - Black (Renewed)",Motorola,Amazon,114,31,-0.010903768
158,Motorola Edge | 2022 | 2-Day Battery | Unlocked | 8/256GB | 50MP Camera | Mineral Gray (Renewed),Motorola,Amazon,135,8,-0.013908427
159,"Motorola Talkabout T210 FRS 2-Way Radios, 32KM - 2 Pack",Motorola,Amazon,159,114,-0.014248333
160,Defy Satellite Link,Motorola,Amazon,80,196,-0.0030509
161,"motorola Motorola Moto G Power (2021) XT2117-4 Flash Gray 64GB, Fully Unlocked (Renewed)",Motorola,Amazon,139,4,-0.014471833
162,"Motorola Moto E (2020) 32GB 6.2"" Display 13MP Camera XT2052-6 Unlocked Phone -Midnight Blue (Renewed)",Motorola,Amazon,48,328,0.003795217
163,"Motorola Moto G Power (2020) 64GB (Canadian Model) 6.4"" Display Triple Camera Long Battery life 5000mAh Smoke Black Unlocked Smartphone (Renewed)",Motorola,Amazon,48,13,-0.00357222
0,Refurbished (Good) - Apple iPhone 13 128GB - Midnight - Unlocked,Apple,Bestbuy,564.98,5,-0.064485249
1,Refurbished (Good) - Apple iPhone 13 Pro 128GB - Graphite - Unlocked,Apple,Bestbuy,589.96,0,-0.067536413
2,Refurbished (Good) - Apple iPhone XR 64GB Smartphone - Black - Unlocked,Apple,Bestbuy,239.99,9,-0.026217458
3,Refurbished (Good) - Apple iPhone 13 128GB - Pink - Unlocked,Apple,Bestbuy,639.82,2,-0.073346331
4,Refurbished (Excellent) - Apple iPhone 11 64GB - Black - Unlocked,Apple,Bestbuy,309.99,18,-0.034229356
5,Refurbished (Good) - iPhone 13 Pro Max 128GB - Sierra Blue - Unlocked,Apple,Bestbuy,779.99,3,-0.089787704
6,Refurbished (Good) - Apple iPhone 12 64GB - Black - Unlocked,Apple,Bestbuy,399.99,8,-0.045034895
7,Refurbished (Excellent) - Apple iPhone 13 128GB - Midnight - Unlocked,Apple,Bestbuy,624,2,-0.07148807
8,Open Box - Apple iPhone 15 128GB - Blue - Unlocked,Apple,Bestbuy,929.99,1,-0.107453902
9,Refurbished (Excellent) - Apple iPhone 13 Pro 128GB - Graphite - Unlocked,Apple,Bestbuy,748.99,2,-0.086169746
10,Open Box - Apple iPhone 15 Pro Max 256GB - Natural Titanium - Unlocked,Apple,Bestbuy,1494.99,0,-0.173843774
11,Refurbished (Excellent) - Apple iPhone 12 64GB - Black - Unlocked,Apple,Bestbuy,419.99,3,-0.047501095
12,Refurbished (Good) - Apple iPhone 13 128GB - Blue - Unlocked,Apple,Bestbuy,559.99,2,-0.063969276
13,Refurbished (Good) - Apple iPhone 13 128GB - Green - Unlocked,Apple,Bestbuy,619.99,1,-0.071040433
14,Open Box - Apple iPhone 15 128GB - Black - Unlocked,Apple,Bestbuy,989.99,0,-0.114525059
15,Refurbished (Good) - Apple iPhone 13 Pro 128GB - Sierra Blue - Unlocked,Apple,Bestbuy,603.86,1,-0.069145758
16,Refurbished (Good) - Apple iPhone 13 Pro 256GB - Sierra Blue - Unlocked,Apple,Bestbuy,689.96,0,-0.079282694
17,Refurbished (Good) - Apple iPhone 13 128GB - Starlight - Unlocked,Apple,Bestbuy,624.99,1,-0.071627747
18,Refurbished (Good) - Apple iPhone 13 Pro 128GB - Silver - Unlocked,Apple,Bestbuy,668.96,0,-0.076815975
19,Refurbished (Good) - Apple iPhone 13 Pro 256GB - Graphite - Unlocked,Apple,Bestbuy,729.96,1,-0.083957817
20,Open Box - Apple iPhone 15 Pro Max 256GB - Black Titanium - Unlocked,Apple,Bestbuy,1599,0,-0.186061081
21,Refurbished (Good) - Apple iPhone 14 Pro Max 128GB - Deep Purple - Unlocked,Apple,Bestbuy,924.99,0,-0.106889977
22,Open Box - Apple iPhone 15 Pro 128GB - Natural Titanium - Unlocked,Apple,Bestbuy,1294.99,0,-0.150351214
23,Open Box - Apple iPhone 15 Pro 128GB - Blue Titanium - Unlocked,Apple,Bestbuy,1199.99,1,-0.139168859
